Employee_Name,EmpID,EmpStatusID,DeptID,PerfScoreID,Salary,Termd,PositionID,Position,Hiring location,Zip,DOB,Sex,MaritalDesc,Citizenship,DateofJoining,DateofTermination,TermReason,EmploymentStatus,Training hours,Trainings,Cost of training ,Department,ManagerName,ManagerID,Recruitment Source,PerformanceScore,EngagementSurvey,Employee rating,LastPerformanceReview_Date,DaysLateLast30,Absences,EmpType,OTHours
"Bunbury, Jessica",10188,5,6,3,74326,1,3,Area Sales Manager,VA,21851,06-01-1964,Female,Married,Eligible NonCitizen,8-15-2011,08-02-2014,Another position,Voluntarily Terminated,4,customer relationship,2500,Sales,John Smith,17,Google Search,Fully Meets,3.14,5,02-10-2013,1,19,contractor,3
"Burke, Joelle",10107,1,5,3,63763,0,20,Production Technician II,MA,2148,03-02-1980,Female,Single,US Citizen,03-05-2012,,N/A-StillEmployed,Active,3,Equipment knowledge,1500,Production       ,Amy Dunn,11,Employee Referral,Fully Meets,4.51,4,2/21/2019,0,3,Permanent,3
"Burkett, Benjamin ",10181,1,5,3,62162,0,20,Production Technician II,MA,1890,08-09-1977,Male ,Married,US Citizen,04-04-2011,,N/A-StillEmployed,Active,2,Manufacturing,2500,Production       ,Ketsia Liebig,19,Indeed,Fully Meets,3.25,5,1/14/2019,0,15,Permanent,2
"Cady, Max ",10150,1,4,3,77692,0,25,Software Engineering Manager,MA,2184,11-02-1966,Male ,Single,US Citizen,08-01-2011,,N/A-StillEmployed,Active,3,Bigdata,2500,Software Engineering,Jennifer Zamora,5,Google Search,Fully Meets,3.84,3,1/21/2019,0,4,Permanent,1
"Candie, Calvin",10001,1,5,4,72640,0,18,Production Manager,MA,2169,08-09-1983,Male ,Single,US Citizen,1-28-2016,,N/A-StillEmployed,Active,3,equipment knowledge,1500,Production       ,Janet King,2,Indeed,Exceeds,5,3,2/22/2019,0,14,Permanent,4
"Carabbio, Judith",10085,1,4,3,93396,0,24,Software Engineer,MA,2132,04-05-1987,Female,Single,US Citizen,11-11-2013,,N/A-StillEmployed,Active,3,Bigdata,2500,Software Engineering,Alex Sweetwater,10,Indeed,Fully Meets,4.96,4,1/30/2019,0,3,Permanent,1
"Carey, Michael  ",10115,1,5,3,52846,0,19,Production Technician I,MA,1701,02-02-1983,Male ,Single,US Citizen,3-31-2014,,N/A-StillEmployed,Active,2,Manufacturing,2500,Production       ,Kelley Spirea,18,LinkedIn,Fully Meets,4.43,3,02-01-2019,0,14,Permanent,2
"Carr, Claudia  N",10082,2,3,3,100031,0,27,Sr. DBA,MA,1886,06-06-1986,Female,Single,US Citizen,6-30-2016,,N/A-StillEmployed,Active,4,Python,2000,IT/IS,Simon Roup,4,LinkedIn,Fully Meets,5,5,2/18/2019,0,7,Permanent,3
"Carter, Michelle ",10040,1,6,3,71860,0,3,Area Sales Manager,VT,5664,05-01-1963,Female,Single,US Citizen,8-18-2014,,N/A-StillEmployed,Active,4,Customer relationship,2500,Sales,John Smith,17,Indeed,Fully Meets,5,5,1/21/2019,0,7,Permanent,3
"Chace, Beatrice ",10067,1,5,3,61656,0,19,Production Technician I,MA,2763,01-02-1951,Female,Single,US Citizen,9-29-2014,,N/A-StillEmployed,Active,3,EQuipment knowledge,1500,Production       ,Michael Albert,22,Google Search,Fully Meets,5,4,02-12-2019,0,11,Permanent,4
"Champaigne, Brian",10108,1,3,3,110929,0,5,BI Director,MA,2045,02-09-1972,Male ,Married,US Citizen,09-06-2016,,N/A-StillEmployed,Active,4,python,2000,IT/IS,Jennifer Zamora,5,Indeed,Fully Meets,4.5,5,1/15/2019,0,8,contractor,1
"Chan, Lin",10210,1,5,3,54237,0,19,Production Technician I,MA,2170,02-12-1979,Female,Single,US Citizen,05-12-2014,,N/A-StillEmployed,Active,3,Equipment knowledge,1500,Production       ,Elijiah Gray,16,Indeed,Fully Meets,3.3,4,2/19/2019,0,11,contractor,2
"Chang, Donovan  E",10154,1,5,3,60380,0,19,Production Technician I,MA,1845,08-03-1983,Male ,Single,US Citizen,07-08-2013,,N/A-StillEmployed,Active,2,Manufacturing,2500,Production       ,Webster Butler,,LinkedIn,Fully Meets,3.8,5,1/14/2019,0,4,contractor,3
"Chigurh, Anton",10200,1,6,3,66808,0,3,Area Sales Manager,TX,78207,06-11-1970,Male ,Single,Eligible NonCitizen,5-14-2012,,N/A-StillEmployed,Active,4,customer relationship,2500,Sales,Lynn Daneault,21,Employee Referral,Fully Meets,3,5,1/19/2019,0,17,Permanent,2
"Chivukula, Enola",10240,5,5,3,64786,1,19,Production Technician I,MA,1775,08-09-1983,Female,Single,US Citizen,6-27-2011,11/15/2015,relocation out of area,Voluntarily Terminated,3,equipment knowledge,1500,Production       ,Amy Dunn,11,Indeed,Fully Meets,4.3,4,03-10-2015,0,3,Permanent,3
"Cierpiszewski, Caroline  ",10168,1,5,3,64816,0,19,Production Technician I,MA,2044,05-11-1988,Female,Single,Non-Citizen,10-03-2011,,N/A-StillEmployed,Active,2,Manufacturing,2500,Production       ,Ketsia Liebig,19,Indeed,Fully Meets,3.58,5,1/30/2019,0,3,Permanent,3
"Clayton, Rick",10220,1,3,3,68678,0,14,IT Support,MA,2170,09-05-1985,Male ,Single,US Citizen,09-05-2012,,N/A-StillEmployed,Active,4,python,2000,IT/IS,Eric Dougall,6,Indeed,Fully Meets,4.7,3,2/27/2019,0,2,Permanent,2
"Cloninger, Jennifer",10275,5,5,3,64066,1,20,Production Technician II,MA,1752,08-11-1981,Female,Married,US Citizen,05-02-2011,01-07-2013,unhappy,Voluntarily Terminated,3,Equipment knowledge,1500,Production       ,Brannon Miller,12,Google Search,Fully Meets,4.2,5,05-03-2012,0,9,Permanent,1
"Close, Phil",10269,5,5,3,59369,1,20,Production Technician II,MA,2169,11-06-1978,Male ,Married,US Citizen,8-30-2010,9/26/2011,career change,Voluntarily Terminated,2,Manufacturing,2500,Production       ,David Stanley,14,Indeed,Fully Meets,4.2,4,05-04-2011,0,6,contractor,3
"Clukey, Elijian",10029,2,5,4,50373,0,19,Production Technician I,MA,2134,08-12-1980,Male ,Married,US Citizen,07-06-2016,,N/A-StillEmployed,Active,3,Equipment knowledge,1500,Production       ,Brannon Miller,12,Employee Referral,Exceeds,4.1,4,2/28/2019,0,5,contractor,2
"Cockel, James",10261,1,5,3,63108,0,19,Production Technician I,MA,2452,09-08-1977,Male ,Single,US Citizen,07-08-2013,,N/A-StillEmployed,Active,2,Manufacturing,2500,Production       ,David Stanley,14,Employee Referral,Fully Meets,4.4,5,1/14/2019,0,3,contractor,2
"Cole, Spencer",10292,4,5,2,59144,1,19,Production Technician I,MA,1880,08-12-1979,Male ,Single,US Citizen,07-11-2011,9/23/2016,performance,Terminated for Cause,3,Equipment knowledge,1500,Production       ,Kissy Sullivan,20,LinkedIn,Needs Improvement,2,3,05-01-2016,5,16,Permanent,3
"Corleone, Michael",10282,1,5,2,68051,0,18,Production Manager,MA,1803,12-06-1975,Male ,Divorced,US Citizen,7-20-2010,,N/A-StillEmployed,Active,2,Manufacturing,2500,Production       ,Janet King,2,CareerBuilder,Needs Improvement,4.13,2,1/14/2019,3,3,contractor,3
"Corleone, Vito",10019,1,5,4,170500,0,10,Director of Operations,MA,2030,03-09-1983,Male ,Single,US Citizen,01-05-2009,,N/A-StillEmployed,Active,3,Equipment knowledge,1500,Production       ,Janet King,2,Indeed,Exceeds,3.7,5,02-04-2019,0,15,Permanent,2
"Cornett, Lisa ",10094,1,5,3,63381,0,19,Production Technician I,MA,2189,03-11-1977,Female,Married,US Citizen,01-05-2015,,N/A-StillEmployed,Active,2,Manufacturing,2500,Production       ,Kelley Spirea,18,Indeed,Fully Meets,4.73,5,2/14/2019,0,6,Permanent,1
"Costello, Frank",10193,1,3,3,83552,0,9,Data Analyst,MA,1810,08-12-1986,Male ,Married,US Citizen,3-30-2015,,N/A-StillEmployed,Active,4,python,2000,IT/IS,Simon Roup,4,Indeed,Fully Meets,3.04,3,1/22/2019,0,2,contractor,3
"Crimmings,   Jean",10132,2,5,3,56149,0,19,Production Technician I,MA,1821,04-10-1987,Female,Single,US Citizen,07-06-2016,,N/A-StillEmployed,Active,3,Equipment knowledge,1500,Production       ,Michael Albert,22,LinkedIn,Fully Meets,4.12,5,1/28/2019,0,15,contractor,4
"Cross, Noah",10083,1,3,3,92329,0,28,Sr. Network Engineer,CT,6278,09-09-1965,Male ,Single,US Citizen,11-10-2014,,N/A-StillEmployed,Active,4,python,2000,IT/IS,Peter Monroe,7,Employee Referral,Fully Meets,5,3,01-02-2019,0,5,contractor,1
"Daneault, Lynn",10099,1,6,3,65729,0,21,Sales Manager,VT,5473,04-09-1990,Female,Single,US Citizen,05-05-2014,,N/A-StillEmployed,Active,4,customer relationship,2500,Sales,Debra Houlihan,15,Indeed,Fully Meets,4.62,4,1/24/2019,0,8,contractor,2
"Daniele, Ann  ",10212,3,3,3,85028,0,28,Sr. Network Engineer,CT,6033,01-07-1952,Female,Married,US Citizen,11-10-2014,,N/A-StillEmployed,Active,4,python,2000,IT/IS,Peter Monroe,7,LinkedIn,Fully Meets,3.1,5,02-12-2019,0,19,Permanent,3
"Darson, Jene'ya ",10056,1,5,3,57583,0,19,Production Technician I,MA,2110,11-05-1978,Female,Married,US Citizen,07-02-2012,,N/A-StillEmployed,Active,2,Manufacturing,2500,Production       ,Elijiah Gray,16,Indeed,Fully Meets,5,3,2/25/2019,0,1,Permanent,2
"Davis, Daniel",10143,1,5,3,56294,0,20,Production Technician II,MA,2458,09-03-1979,Male ,Single,Eligible NonCitizen,11-07-2011,,N/A-StillEmployed,Active,3,Equipment knowledge,1500,Production       ,Kissy Sullivan,20,LinkedIn,Fully Meets,3.96,4,2/27/2019,0,6,Permanent,3
"Dee, Randy",10311,1,6,1,56991,0,19,Production Technician I,MA,2138,04-01-1988,Male ,Married,US Citizen,07-09-2018,,N/A-StillEmployed,Active,2,Manufacturing,2500,Production       ,Brannon Miller,12,Indeed,Fully Meets,4.3,4,1/31/2019,2,2,Permanent,3
"DeGweck,  James",10070,5,5,3,55722,1,19,Production Technician I,MA,1810,10-11-1977,Male ,Married,US Citizen,05-02-2011,06-08-2016,unhappy,Voluntarily Terminated,3,Equipment knowledge,1500,Production       ,Webster Butler,39,Indeed,Fully Meets,5,4,04-02-2016,0,14,Permanent,2
"Del Bosque, Keyla",10155,1,4,3,101199,0,24,Software Engineer,MA,2176,07-05-1979,Female,Single,US Citizen,01-09-2012,,N/A-StillEmployed,Active,3,Bigdata,2500,Software Engineering,Alex Sweetwater,10,CareerBuilder,Fully Meets,3.79,5,1/25/2019,0,8,Permanent,1
"Delarge, Alex",10306,1,6,1,61568,0,3,Area Sales Manager,AL,36006,11-02-1975,Male ,Single,US Citizen,9-29-2014,,N/A-StillEmployed,Active,4,customer relationship,2500,Sales,John Smith,17,Indeed,PIP,1.93,3,1/30/2019,6,5,contractor,3
"Demita, Carla",10100,5,5,3,58275,1,20,Production Technician II,MA,2343,02-06-1951,Female,Separated,US Citizen,04-04-2011,11-04-2015,more money,Voluntarily Terminated,3,Equipment knowledge,1500,Production       ,Kelley Spirea,18,Google Search,Fully Meets,4.62,5,05-06-2015,0,1,contractor,4
"Desimone, Carl ",10310,1,5,1,53189,0,19,Production Technician I,MA,2061,04-09-1967,Male ,Married,US Citizen,07-07-2014,,N/A-StillEmployed,Active,3,Equipment knowledge,1500,Production       ,Amy Dunn,11,Indeed,PIP,1.12,2,1/31/2019,4,9,contractor,1
"DeVito, Tommy",10197,1,3,3,96820,0,4,BI Developer,MA,2045,09-04-1983,Male ,Single,US Citizen,2-15-2017,,N/A-StillEmployed,Active,4,cloud computing,3000,IT/IS,Brian Champaigne,13,Indeed,Fully Meets,3.01,5,1/23/2019,0,15,Permanent,2
"Dickinson, Geoff ",10276,1,5,3,51259,0,19,Production Technician I,MA,2180,11-01-1982,Male ,Single,US Citizen,05-12-2014,,N/A-StillEmployed,Active,2,Manufacturing,2500,Production       ,Ketsia Liebig,19,Indeed,Fully Meets,4.3,4,2/19/2019,0,1,Permanent,3
"Dietrich, Jenna  ",10304,1,6,1,59231,0,3,Area Sales Manager,WA,98052,05-03-1987,Female,Single,US Citizen,2-20-2012,,N/A-StillEmployed,Active,4,customer relationship,2500,Sales,John Smith,17,Website,PIP,2.3,1,1/29/2019,2,17,Permanent,4
"DiNocco, Lily ",10284,1,5,2,61584,0,19,Production Technician I,MA,2351,12-02-1978,Female,Married,US Citizen,01-07-2013,,N/A-StillEmployed,Active,2,Manufacturing,2500,Production       ,Brannon Miller,12,Indeed,Needs Improvement,3.88,4,1/18/2019,0,6,Permanent,1
"Dobrin, Denisa  S",10207,1,5,3,46335,0,19,Production Technician I,MA,2125,10-07-1986,Female,Single,US Citizen,04-02-2012,,N/A-StillEmployed,Active,3,Equipment knowledge,1500,Production       ,David Stanley,14,CareerBuilder,Fully Meets,3.4,5,2/19/2019,0,15,Permanent,2
"Dolan, Linda",10133,1,3,3,70621,0,14,IT Support,MA,2119,07-07-1988,Female,Married,US Citizen,01-05-2015,,N/A-StillEmployed,Active,4,python,2000,IT/IS,Peter Monroe,7,Employee Referral,Fully Meets,4.11,4,2/25/2019,0,16,Permanent,3
"Dougall, Eric",10028,1,3,4,138888,0,13,IT Manager - Support,MA,1886,07-09-1970,Male ,Single,US Citizen,01-05-2014,,N/A-StillEmployed,Active,4,python,2000,IT/IS,Jennifer Zamora,5,Indeed,Exceeds,4.3,5,01-04-2019,0,4,Permanent,2
"Driver, Elle",10006,1,6,4,74241,0,3,Area Sales Manager,CA,90007,11-08-1988,Female,Single,US Citizen,01-10-2011,,N/A-StillEmployed,Active,4,cloud computing,2500,Sales,Lynn Daneault,21,Indeed,Exceeds,4.77,5,1/27/2019,0,14,Permanent,3
"Dunn, Amy  ",10105,1,5,3,75188,0,18,Production Manager,MA,1731,11-10-1973,Female,Single,US Citizen,9-18-2014,,N/A-StillEmployed,Active,3,Equipment knowledge,1500,Production       ,Janet King,2,Google Search,Fully Meets,4.52,4,1/15/2019,0,4,Permanent,4
"Dunne, Amy",10211,1,5,3,62514,0,19,Production Technician I,MA,1749,09-10-1973,Female,Married,US Citizen,04-12-2010,,N/A-StillEmployed,Active,2,Manufacturing,2500,Production       ,Ketsia Liebig,19,Google Search,Fully Meets,2.9,3,1/21/2019,0,6,contractor,1
"Eaton, Marianne",10064,5,5,3,60070,1,19,Production Technician I,MA,2343,09-05-1991,Female,Married,US Citizen,04-04-2011,06-06-2017,military,Voluntarily Terminated,3,Equipment knowledge,1500,Production       ,Kissy Sullivan,20,Google Search,Fully Meets,5,3,04-09-2017,0,7,contractor,2
"Engdahl, Jean",10247,1,5,3,48888,0,19,Production Technician I,MA,2026,05-11-1974,Male ,Single,US Citizen,11-10-2014,,N/A-StillEmployed,Active,2,Manufacturing,2500,Production       ,Kelley Spirea,18,LinkedIn,Fully Meets,4.7,5,2/13/2019,0,8,contractor,3
"England, Rex",10235,1,5,3,54285,0,19,Production Technician I,MA,2045,08-06-1978,Male ,Married,US Citizen,3-31-2014,,N/A-StillEmployed,Active,3,Equipment knowledge,1500,Production       ,Kelley Spirea,18,Employee Referral,Fully Meets,4.2,3,01-11-2019,0,3,Permanent,2
"Erilus, Angela",10299,1,5,1,56847,0,20,Production Technician II,MA,2133,08-06-1989,Female,Separated,US Citizen,07-07-2014,,N/A-StillEmployed,Active,2,Manufacturing,2500,Production       ,Michael Albert,22,Indeed,PIP,3,1,2/25/2019,2,5,Permanent,3
"Estremera, Miguel",10280,4,5,2,60340,1,19,Production Technician I,MA,2129,09-02-1983,Male ,Single,US Citizen,04-02-2012,9/27/2018,attendance,Terminated for Cause,3,Equipment knowledge,1500,Production       ,Michael Albert,22,Google Search,Needs Improvement,5,4,04-12-2018,5,16,Permanent,4
"Evensen, April",10296,4,5,2,59124,1,19,Production Technician I,MA,2458,05-06-1989,Female,Single,US Citizen,2-17-2014,2/25/2018,"no-call, no-show",Terminated for Cause,3,Equipment knowledge,1500,Production       ,Elijiah Gray,16,Google Search,Needs Improvement,2.3,3,1/15/2017,5,19,Permanent,1
"Exantus, Susan",10290,4,4,2,99280,1,24,Software Engineer,MA,1749,05-01-1987,Female,Married,US Citizen,05-02-2011,06-05-2013,attendance,Terminated for Cause,3,Bigdata,2500,Software Engineering,Alex Sweetwater,10,Indeed,Needs Improvement,2.1,5,08-10-2012,4,19,Permanent,2
"Faller, Megan ",10263,1,5,3,71776,0,20,Production Technician II,MA,1824,09-02-1978,Female,Married,US Citizen,07-07-2014,,N/A-StillEmployed,Active,2,Manufacturing,2500,Production       ,Elijiah Gray,16,LinkedIn,Fully Meets,4.4,5,2/22/2019,0,17,contractor,3
"Fancett, Nicole",10136,1,5,3,65902,0,20,Production Technician II,MA,2324,09-09-1987,Female,Single,US Citizen,2-17-2014,,N/A-StillEmployed,Active,3,Equipment knowledge,1500,Production       ,Webster Butler,,LinkedIn,Fully Meets,4,4,01-07-2019,0,7,contractor,2
"Ferguson, Susan",10189,5,5,3,57748,1,19,Production Technician I,MA,2176,04-03-1955,Female,Married,US Citizen,11-07-2011,5/17/2016,military,Voluntarily Terminated,2,Manufacturing,2500,Production       ,Webster Butler,39,Google Search,Fully Meets,3.13,3,02-04-2016,0,16,contractor,3
"Fernandes, Nilson  ",10308,1,5,1,64057,0,19,Production Technician I,MA,2132,10-07-1989,Male ,Married,US Citizen,05-11-2015,,N/A-StillEmployed,Active,3,Equipment knowledge,1500,Production       ,Amy Dunn,11,Indeed,PIP,1.56,5,01-03-2019,6,15,Permanent,2
"Fett, Boba",10309,1,3,1,53366,0,15,Network Engineer,MA,2138,06-07-1987,Male ,Single,US Citizen,3-30-2015,,N/A-StillEmployed,Active,4,cloud computing,3000,IT/IS,Peter Monroe,7,LinkedIn,PIP,1.2,3,02-04-2019,3,2,contractor,3
